Bezirke;Jahr;Monat;(Gaeste);(Gaeste) - Anmerkungen;(Uebernachtungen);(Uebernachtungen) - Anmerkungen
;;November;34394;;77077;
;;Dezember;32471;;77668;
12 Reinickendorf;2014;Januar;14206;;33485;
;;Februar;15817;;35554;
;;Maerz;19767;;45755;
;;April;22382;;52173;
;;Mai;27441;;63300;
;;Juni;27933;;62494;
;;Juli;26608;;60491;
;;August;28192;;73818;
;;September;28097;;64811;
;;Oktober;27730;;61601;
;;November;20819;;45790;
;;Dezember;17918;;40227;
;2010;Januar;15935;;36751;
;;Februar;16072;;35914;
;;Maerz;21642;;52804;
;;April;20524;;50473;
;;Mai;25196;;59622;
;;Juni;26970;;62047;
;;Juli;23040;;58772;
;;August;22069;;53254;
;;September;26509;;60466;
;;Oktober;24755;;57753;
;;November;20342;;45499;
;;Dezember;20914;;42213;
;2011;Januar;15762;;36179;
;;Februar;15661;;36157;
;;Maerz;18856;;44823;
;;April;22889;;55432;
;;Mai;25564;;57316;
;;Juni;26781;;60929;
;;Juli;25281;;62831;
;;August;24451;;60097;
;;September;27969;;61062;
;;Oktober;26720;;60003;
;;November;20674;;45854;
;;Dezember;19195;;42398;
;2012;Januar;16129;;37142;
;;Februar;16826;;36526;
;;Maerz;21514;;48424;
;;April;23640;;57112;
;;Mai;27924;;64114;
;;Juni;25760;;62155;
;;Juli;26207;;64008;
;;August;27136;;66408;
;;September;25994;;61100;
;;Oktober;25431;;59117;
;;November;20777;;46702;
;;Dezember;18645;;42207;
;2013;Januar;15821;;35412;
;;Februar;15960;;36120;
;;Maerz;20984;;48512;
;;April;21784;;50214;
;;Mai;27510;;63204;
;;Juni;26042;;59397;
;;Juli;25235;;62753;
;;August;28533;;65252;
;;September;26501;;60557;
;;Oktober;27269;;61123;
;;November;19598;;43989;
;;Dezember;18827;;42072;
;2015;Januar;14659;;35194;
;;Februar;16039;;35643;
;;Maerz;21470;;47703;
;;April;19616;;47879;
;;Mai;25426;;59378;
;;Juni;24695;;57051;
;;Juli;25976;;62339;
;;August;22683;;60381;
;;September;23839;;57984;
;;Oktober;24369;;56220;
;;November;19267;;43958;
;;Dezember;15858;;37145;
;;;;;;
;;;;;;
Symbol;Beschreibung;;;;;
1;"<font size=""-2"">Quelle: <a href=""http://www.statistik-berlin-brandenburg.de/inhalt/copyright.asp"" target=""_blank"">Amt f&uuml;r Statistik Berlin-Brandenburg</a><br /><br />Die Daten entstammen der <a href=""http://www.statistik-berlin-brandenburg.de/Grundlagen/Tourismus.asp?Ptyp=50&Sageb=45005&creg=BBB&anzwer=6"" target=""_blank"">Tourismusstatistik</a> der L&auml;nder Berlin und Brandenburg. <br/><br/> <a href=""http://creativecommons.org/licenses/by/3.0/de/"" target=""_blank"" ><img alt=""logo cc-by"" src=""images/by.png"" ></a><br/>Diese&nbsp;Seite&nbsp;steht&nbsp;unter&nbsp;einer <a href=""http://creativecommons.org/licenses/by/3.0/de/"" target=""_blank"">Creative&nbsp;Commons&nbsp;Namensnennung&nbsp;3.0&nbsp;Deutschland&nbsp;Lizenz</a>.&nbsp;<br/><br/></font> ";;;;;
;;;;;;
;;;;;;
Quelle: Amt für Statistik Berlin-Brandenburg 2016;;;;;;
